"Text Editing","Previous Word","⌥←","Editing Text"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Run/Debug","Run OSGi Framework","⇧⌘X O","In Windows"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Navigate","Next Page","⌥F7","In Windows"
"Refactor - Java","Change Method Signature","⌃⌘C","In Windows"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"Run/Debug","Step Over","F6","Debugging"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Uncategorized","Add Artifact to Target Platform","⇧⌥⌘A","In Windows"
"File","Properties","⌥↩","In Windows"
"Text Editing","Delete Previous Word","Esc ⌫","Editing Text"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source"
"Search","References in Workspace","⇧⌘G","In Windows"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"JavaScript Debug","Open Source","⇧⌘3","Debugging"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Edit","Undo","F9","In Windows"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Quick JUnit","JUnit デバッグ","⇧⌘0","Editing Text"
"Text Editing","Line Start","⌃A","Editing Text"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Run/Debug","Run JUnit Plug-in Test","⇧⌘X P","In Windows"
"Edit","Select Enclosing Element","⇧⌃⇞","Editing Java Source"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Navigate","Forward History","⌘]","In Windows"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"Quick JUnit","JUnit デバッグ","⇧⌃0","Editing Text"
"Window","Previous View","⇧⌃T","In Windows"
"Navigate","Go to Line","⌘L","Editing Text"
"Edit","Redo","F10","In Windows"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"File","Close","⌘W","In Windows"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Window","Close Dialog","⌘W","In Dialogs"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Window","Quick Access","⌘3","In Windows"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Text Editing","Scroll Line Up","⌥Z","Editing Text"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Quick JUnit","テスティングペアを開く","⌘9","Editing Text"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Views","JavaScript Type Hierarchy","⌥⌘Q T","JavaScript View"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Refactor - JavaScript","Change Function Signature","⌃⌘C","JavaScript View"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Navigate","Open Type","⇧⌘T","In Windows"
"Search","Declaration in Workspace","⌘G","In Windows"
"Source","Add Javadoc Comment","⌃⌘J","In Windows"
"File","Close All","⇧⌘W","In Windows"
"Run/Debug","Debug JUnit Test","⇧⌘D T","In Windows"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Navigate","Quick Outline","⌘O","PDE editor"
"Source","Surround With Quick Menu","⌃⌘Z","In Windows"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Edit","Find and Replace","⌘F","In Windows"
"Text Editing","Next Word","⌥→","Editing Text"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Text Editing","Text End","⌘↘","Editing Text"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Run/Debug","Terminate","⌘F2","Debugging"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Views","JavaScript Script Explorer","⌥⌘Q P","JavaScript View"
"File","Print","Esc F9","In Windows"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Server","Publish","⌥⌘P","In Servers View"
"View","Zoom In","⌘=","In Windows"
"Text Editing","Line Up","⌃P","Editing Text"
"Window","Next Perspective","⌘F8","In Windows"
"Refactor - Java","Show Refactor Quick Menu","⌃⌘T","In Windows"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Refactor - JavaScript","Move - Refactoring ","⌃⌘V","JavaScript View"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Run/Debug","Run on Server","⇧⌥X R","In Windows"
"Git","Commit...","⌃⌘3","In Windows"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Edit","Restore Last Selection","⇧⌃↓","Editing JavaScript Source"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Edit","Find and Replace","⌥R","In Windows"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Source","Toggle Comment","⌘7","Editing Java Source"
"WindowBuilder Pro","Empty command","⌥⌘A","WindowBuilder Java scope"
"Text Editing","Text Start","⌥<","Editing Text"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Navigate","Activate Task","⌘F9","In Windows"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Source","Add JSDoc Comment","⌃⌘J","JavaScript View"
"Text Editing","Previous Word","⌥B","Editing Text"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Navigate","Open Declaration","F3","JavaScript View"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Edit","Context Information","⌥?","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Run/Debug","Run JUnit Test","⇧⌘X T","In Windows"
"File","Properties","⌘I","In Windows"
"Run/Debug","Debug Java Applet","⇧⌘D A","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Refactor - JavaScript","Rename - Refactoring ","⌃⌘R","JavaScript View"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Text Editing","Swap Mark","⌃X ⌃X","Editing Text"
"Text Editing","Text Start","↖","Editing Text"
"Text Editing","Text End","Esc ⇧>","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Navigate","Backward History","⌥⌘←","In Windows"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Edit","Find and Replace","Esc R","In Windows"
"Text Editing","Next Word","⌥F","Editing Text"
"Edit","Undo","⌃X U","In Windows"
"Edit","Incremental Find Reverse","⌃R","Editing Text"
"Text Editing","Delete Line","⌘D","Editing Text"
"Refactor - Java","Rename - Refactoring ","⌃⌘R","In Windows"
"Text Editing","Text Start","Esc ⇧<","Editing Text"
"JavaScript Debug","Evaluate","⇧⌥E","Editing JavaScript Source"
"Run/Debug","Debug on Server","⇧⌥D R","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Project","Build All","⌘B","In Windows"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Source","Show Source Quick Menu","⌃⌘S","In Windows"
"Refactor - JavaScript","Show Refactor Quick Menu","⌃⌘T","JavaScript View"
"Edit","Delete","⌦","In Windows"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Views","Show View","⌥⌘Q Q","In Windows"
"Run/Debug","Debug Java Application","⇧⌘D J","In Windows"
"Navigate","Backward History","⌘[","In Windows"
"Text Editing","Text End","⌥>","Editing Text"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"File","Rename","F2","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Source","Rename In File","⌃⌘R","Editing Ant Buildfiles"
"Text Editing","Cut to End of Line","⌃K","Editing Text"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Text Editing","Text Start","⇧⌥<","Editing Text"
"Text Editing","Recenter","⌃L","Editing Text"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Server","Debug","⌥⌘D","In Servers View"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Text Editing","Text End","↘","Editing Text"
"Text Editing","Page Up","Esc V","Editing Text"
"Window","Switch to Editor","⌃X ⌃B","In Windows"
"Navigate","Open Resource","⌃X ⌃F","In Windows"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Text Editing","Clear Mark","⌃G","Editing Text"
"Window","Next View","⌃T","In Windows"
